SteamSpyPlayersEstimate,SteamSpyPlayersVariance,SteamSpyOwners,SteamSpyOwnersVariance,ResponseID,QueryID,Metacritic,DLCCount,PriceInitial,PriceFinal,AchievementCount,PackageCount,MovieCount,AchievementHighlightedCount,RequiredAge,ScreenshotCount,CategoryMultiplayer,PCReqsHaveMin,LinuxReqsHaveMin,DeveloperCount,GenreIsFreeToPlay,PCReqsHaveRec,GenreIsMassivelyMultiplayer,PublisherCount,PriceCurrency_USD,MacReqsHaveRec,GenreIsAction,PlatformMac,CategoryCoop,DemoCount,PlatformWindows,IsFree,PurchaseAvail,ControllerSupport,CategoryMMO,GenreIsCasual,GenreIsIndie,target
-0.09894336,-0.54514503,-0.13853109,-0.6082027,0.01089875,0.009748231,-0.44940695,-0.0789246,-0.1579903,-0.14001226,-0.3386386,-0.09743984,-0.2664429,-0.8666985,-0.2298847,-0.39630288,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,2.5711033,1.1786436,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,1.6074206,-0.15736704,1.6727871,0.8470693,1
-0.094859526,-0.31030655,-0.11555141,-0.12578753,-2.3317657,-2.3347638,-0.44940695,-0.0789246,0.075211905,0.11178881,-0.3386386,1.0881943,-1.0995151,-0.8666985,-0.2298847,-0.86714,-0.5923782,0.24617021,-0.5450516,2.2113585,-0.22439817,-0.87602615,-0.17209357,2.9535577,0.49445972,-0.38893804,-0.84843296,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,-1.1805409,1
-0.09829035,-0.45118284,-0.13762999,-0.5127212,0.10033064,0.09925066,-0.44940695,-0.0789246,0.075211905,0.11178881,-0.10367502,-0.09743984,-0.2664429,1.2019871,-0.2298847,-0.39630288,-0.5923782,0.24617021,1.8346888,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,2.5711033,-0.84843296,1.3770577,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,1.6727871,0.8470693,1
-0.09894336,-0.54514503,-0.13853109,-0.6082027,-2.3029807,-2.1851141,2.548134,-0.0789246,0.85255265,0.9511257,-0.3386386,1.0881943,-0.2664429,-0.8666985,-0.2298847,0.54537135,1.6881107,0.24617021,-0.5450516,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,-0.38893804,-0.84843296,1.3770577,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,-1.1805409,1
-0.03180874,0.4072109,-0.018974828,0.49217132,-0.60199684,-0.6036308,2.2230995,0.108568326,0.85255265,-0.15679899,1.3765956,-0.09743984,1.3997014,1.2019871,-0.2298847,4.7829056,1.6881107,0.24617021,-0.5450516,-0.070318796,-0.22439817,-0.87602615,-0.17209357,0.03455623,0.49445972,-0.38893804,1.1786436,-0.726186,3.038294,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,0.8470693,2
-0.09208263,-0.24073963,-0.12906872,-0.29861125,0.5141241,0.51337045,-0.44940695,0.014821865,-0.46892658,-0.47574702,0.6717049,-0.09743984,-0.2664429,1.2019871,-0.2298847,-0.7101943,-0.5923782,0.24617021,1.8346888,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,2.5711033,-0.84843296,1.3770577,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,1.6727871,0.8470693,1
-0.09420651,-0.29221112,-0.13297376,-0.3709457,-0.022740768,-0.023917818,-0.44940695,-0.0789246,3.9619157,4.3084736,0.74219394,-0.09743984,-0.2664429,1.2019871,-0.2298847,-0.7101943,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,-0.38893804,1.1786436,-0.726186,3.038294,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,-1.1805409,1
-0.09748615,-0.30266625,-0.13629091,-0.42413935,-0.14540194,-0.14667574,-0.44940695,-0.0789246,-0.002522166,0.027855119,0.037303142,-0.09743984,-0.2664429,1.2019871,-0.2298847,-0.08241147,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,-0.38893804,-0.84843296,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,0.8470693,1
-0.097963385,-0.43013853,-0.13732934,-0.49792045,-0.21199724,-0.21332356,-0.44940695,-0.0789246,0.85255265,0.9511257,0.50723034,-0.09743984,-0.2664429,1.2019871,-0.2298847,-0.08241147,-0.5923782,0.24617021,-0.5450516,2.2113585,-0.22439817,1.1415185,-0.17209357,0.03455623,0.49445972,-0.38893804,-0.84843296,-0.726186,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,-1.1805409,1
-0.09028571,-0.20320837,-0.12155845,-0.19355935,-0.5719127,-0.573523,-0.44940695,0.014821865,0.075211905,0.11178881,0.8831721,-0.09743984,-0.2664429,1.2019871,-0.2298847,0.07453424,-0.5923782,0.24617021,-0.5450516,-0.070318796,-0.22439817,-0.87602615,-0.17209357,0.03455623,0.49445972,-0.38893804,-0.84843296,1.3770577,-0.32913208,-0.31054887,0.0,-0.28723457,0.4846315,-0.6221147,-0.15736704,-0.5978047,0.8470693,1
